Trial ID,Milestone,Release Tag,Paradigm,Instance Family,Machine Type,vCPU Count,Silicon Architecture,Concurrency Parameter,Concurrency Value,Benchmark Command,Min Time (s),Max Time (s),Avg Time (s),Concurrent Blocks in Flight (L),Required Bare-Metal VM/Cluster Units
1,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=1,1,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=1,650.309,650.309,650.309,6504,6504
2,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=2,2,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=2,650.309,650.309,650.309,6504,3252
3,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=3,3,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=3,650.309,650.309,650.309,6504,2168
4,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=4,4,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=4,650.309,650.309,650.309,6504,1626
5,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=5,5,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=5,650.309,650.309,650.309,6504,1301
6,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=6,6,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=6,650.309,650.309,650.309,6504,1084
7,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=7,7,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=7,650.309,650.309,650.309,6504,930
8,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=8,8,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=8,650.309,650.309,650.309,6504,813
9,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=9,9,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=9,650.309,650.309,650.309,6504,723
10,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-16,16,ARM64 Neoverse V2,JOBS=10,10,cloud-bench-run TARGET=prover-c4a-highcpu-16 SHAPE=c4a-highcpu-16 JOBS=10,650.309,650.309,650.309,6504,651
11,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=1,1,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=1,350.21,350.21,350.21,3503,3503
12,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=2,2,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=2,350.21,350.21,350.21,3503,1752
13,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=3,3,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=3,350.21,350.21,350.21,3503,1168
14,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=4,4,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=4,350.21,350.21,350.21,3503,876
15,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=5,5,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=5,350.21,350.21,350.21,3503,701
16,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=6,6,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=6,350.21,350.21,350.21,3503,584
17,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=7,7,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=7,350.21,350.21,350.21,3503,501
18,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=8,8,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=8,350.21,350.21,350.21,3503,438
19,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=9,9,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=9,350.21,350.21,350.21,3503,390
20,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-32,32,ARM64 Neoverse V2,JOBS=10,10,cloud-bench-run TARGET=prover-c4a-highcpu-32 SHAPE=c4a-highcpu-32 JOBS=10,350.21,350.21,350.21,3503,351
21,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-48,48,ARM64 Neoverse V2,JOBS=1,1,cloud-bench-run TARGET=prover-c4a-highcpu-48 SHAPE=c4a-highcpu-48 JOBS=1,260.102,260.102,260.102,2602,2602
22,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-48,48,ARM64 Neoverse V2,JOBS=2,2,cloud-bench-run TARGET=prover-c4a-highcpu-48 SHAPE=c4a-highcpu-48 JOBS=2,260.102,260.102,260.102,2602,1301
23,Monolithic v0.0.1,v0.0.1-single-vm-proof-gen,Monolith,c4a-highcpu,c4a-highcpu-48,48,ARM64 Neoverse V2,JOBS=3,3,cloud-bench-run TARGET=prover-c4a-highcpu-48 SHAPE=c4a-highcpu-48 JOBS=3,260.102,260.102,260.102,2602,868
